Water Sample,Latitude,Longitude,EC (Instrument),pH,EC (Circuit)
Dolores River (Colorado),37.469154,-108.513346,515,8.6,400
Lahontan Reservoir,39.444038,-119.087581,181,8.12,600
Sevier River,39.062947,-113.143547,519,8.2,376
Orr Hot Springs,39.230021,-123.366226,592,8.1,495
Mt. Shasta Headwaters,41.408096,-122.221784,88,8.1,845
San Luis Wildlife Preserve,37.178406,-120.800634,1220,6.7,326
Alpine Dam,37.940577,-122.638518,105,8.5,870
Crystal Lake,37.956626,-122.770691,89,8.5,827
Aztec Springs Creek,35.700697,-105.896043,81,8.4,865
Muir Woods,37.894353,-122.575,244,7.9,595
Minersville Reservoir,38.215777,-112.832888,560,7.9,450
Escalante River,37.37597,-110.9298,289,8,470
Mono Lake,37.97792,-119.13291,0,9.2,70
Biscuit Flats Geyser,44.725015,-110.706051,262,8.6,593
Lake Powell,36.996243,-111.48989,49,8.2,270
Lucin Ponds,41.34357,-113.90157,630,8.5,284
Zebra Slot Canyon,37.63479,-111.44875,590,8.2,365
Mill Creek,39.295964,-123.311835,248,8.3,640
Tecopa Hot Springs,35.890444,-116.230592,4212,8.1,195
Strawberry Reservoir,40.17182,-111.12949,654,8.2,345
Animas River (Silverton),37.81527,-107.65502,1240,3.2,260
Tuolumne River,37.87618,-119.35501,474,7.8,475
Lower Calf Creek Falls,37.82915,-111.42011,672,7.8,385
Florida River Colorado,37.54835,-107.56383,384,8,500
Green River Colorado,40.5212,-108.98928,540,8.1,420
Zebra Slot Canyon,37.63479,-111.44875,933,8,354
Mineral Creek,37.964771,-107.600322,459,5,415
Truckee River Tahoe,39.519293,-119.737784,89,7,730
Slate River,38.868189,-106.968465,76,8.1,813
Santa Fe River,35.664422,-105.999052,255,8,406
El Vado Dam,36.5945815,-106.7325211,129,8.2,550
Abiqui Resevoir,36.2509356,-106.4602876,132,8.3,630
Frijoles Creek,36.2662137,-105.4024029,72,7.8,715
Rio Grande Espanola,36.0421591,-106.0882759,208,8.5,670
East Fork Jemez,35.8150292,-106.5313339,68,8.4,618
Cochiti Dam,35.6380111,-106.3233662,113,7.9,621
Tesque Creek,35.7274403,-105.8942342,26,9,660
Conchas Lake,35.3784134,-104.1998291,174,7.9,495
Blue Hole,34.9414627,-104.6770477,1130,7.8,250
Bitter Lake,33.4554518,-104.4010592,8186,7.6,102
Rio Grande (TorC),33.12689,-107.25024,247,8,485
